site_name,site_key,cache_file,rows,unique_checklists,first_date,last_date
Amelia,amelia,data_processed/caches/amelia_checklists_cache.rds,566,566,2000-05-06,2026-02-28
Arch of the Nottoway,arch_of_the_nottoway,data_processed/caches/arch_of_the_nottoway_checklists_cache.rds,2,2,2025-08-04,2025-08-05
Balthrope Marsh,balthrope_marsh,data_processed/caches/balthrope_marsh_checklists_cache.rds,0,0,NA,NA
Bear Garden,bear_garden,data_processed/caches/bear_garden_checklists_cache.rds,20,20,2012-04-28,2024-08-20
Big Survey,big_survey,data_processed/caches/big_survey_checklists_cache.rds,87,87,2003-07-26,2026-02-21
Big Woods,big_woods,data_processed/caches/big_woods_checklists_cache.rds,245,245,1987-06-06,2026-02-14
Briery Creek,briery_creek,data_processed/caches/briery_creek_checklists_cache.rds,2141,2141,1995-04-10,2026-02-28
Brookneal,brookneal,data_processed/caches/brookneal_checklists_cache.rds,35,35,2017-03-19,2025-07-26
Buller,buller,data_processed/caches/buller_checklists_cache.rds,233,233,2013-07-09,2026-02-28
C.F. Phelps,c_f_phelps,data_processed/caches/c_f_phelps_checklists_cache.rds,597,597,1995-06-26,2025-09-16
Cavalier,cavalier,data_processed/caches/cavalier_checklists_cache.rds,352,352,1989-04-02,2026-01-19
Chickahominy,chickahominy,data_processed/caches/chickahominy_checklists_cache.rds,358,358,1994-04-19,2026-02-26
Clinch Mountian,clinch_mountian,data_processed/caches/clinch_mountian_checklists_cache.rds,332,332,1900-07-01,2026-01-06
Coastal Forest,coastal_forest,data_processed/caches/coastal_forest_checklists_cache.rds,7,7,2008-04-21,2025-05-03
Coastal Forest - Lower Accomack,coastal_forest_lower_accomack,data_processed/caches/coastal_forest_lower_accomack_checklists_cache.rds,6,6,2018-06-25,2026-01-03
Coastal Forest - Mid Accomack,coastal_forest_mid_accomack,data_processed/caches/coastal_forest_mid_accomack_checklists_cache.rds,1,1,2016-02-29,2016-02-29
Coastal Forest - Upper Accomack,coastal_forest_upper_accomack,data_processed/caches/coastal_forest_upper_accomack_checklists_cache.rds,24,24,1994-03-05,2026-01-05
Copper Creek,copper_creek,data_processed/caches/copper_creek_checklists_cache.rds,7,7,2022-10-17,2025-04-27
Coursey Springs Fish Culture Center,coursey_springs_fish_culture_center,data_processed/caches/coursey_springs_fish_culture_center_checklists_cache.rds,40,40,1991-05-18,2025-09-13
Crooked Creek,crooked_creek,data_processed/caches/crooked_creek_checklists_cache.rds,103,103,2003-04-28,2025-09-21
Dick Cross,dick_cross,data_processed/caches/dick_cross_checklists_cache.rds,1568,1568,1974-02-23,2026-02-28
Doe Creek,doe_creek,data_processed/caches/doe_creek_checklists_cache.rds,42,42,1991-08-10,2026-01-03
Fairystone Farms,fairystone_farms,data_processed/caches/fairystone_farms_checklists_cache.rds,148,148,1989-06-06,2025-10-13
Featherfin,featherfin,data_processed/caches/featherfin_checklists_cache.rds,89,89,2010-10-11,2025-11-23
Flippo-Gentry,flippo_gentry,data_processed/caches/flippo_gentry_checklists_cache.rds,72,72,2009-06-17,2026-02-17
Front Royal Fish Culture Center,front_royal_fish_culture_center,data_processed/caches/front_royal_fish_culture_center_checklists_cache.rds,50,50,2012-03-20,2025-06-17
Game Farm Marsh,game_farm_marsh,data_processed/caches/game_farm_marsh_checklists_cache.rds,5,5,2016-01-13,2026-01-06
Gathright,gathright,data_processed/caches/gathright_checklists_cache.rds,78,78,1982-06-09,2025-05-23
Goochland Marsh,goochland_marsh,data_processed/caches/goochland_marsh_checklists_cache.rds,3,3,2018-05-11,2025-05-25
Goshen,goshen,data_processed/caches/goshen_checklists_cache.rds,79,79,1987-06-14,2026-01-18
Greensprings,greensprings,data_processed/caches/greensprings_checklists_cache.rds,84,84,2016-01-01,2026-01-08
Guinea Marsh,guinea_marsh,data_processed/caches/guinea_marsh_checklists_cache.rds,14,14,2015-04-01,2023-09-05
Hardware River,hardware_river,data_processed/caches/hardware_river_checklists_cache.rds,184,184,2002-06-06,2026-02-20
Havens,havens,data_processed/caches/havens_checklists_cache.rds,27,27,2007-05-24,2025-04-20
Hidden Valley,hidden_valley,data_processed/caches/hidden_valley_checklists_cache.rds,158,158,1998-03-06,2025-12-06
Highland,highland,data_processed/caches/highland_checklists_cache.rds,235,235,1975-06-18,2025-09-27
Hog Island,hog_island,data_processed/caches/hog_island_checklists_cache.rds,2436,2436,1954-12-08,2026-02-21
Horsepen Lake,horsepen_lake,data_processed/caches/horsepen_lake_checklists_cache.rds,77,77,1996-10-25,2026-02-08
James River,james_river,data_processed/caches/james_river_checklists_cache.rds,44,44,2012-07-14,2026-02-10
Johnson Marsh,johnson_marsh,data_processed/caches/johnson_marsh_checklists_cache.rds,0,0,NA,NA
Jones Cove,jones_cove,data_processed/caches/jones_cove_checklists_cache.rds,15,15,2007-05-03,2024-05-18
King and Queen,king_and_queen,data_processed/caches/king_and_queen_checklists_cache.rds,36,36,2014-06-14,2025-05-19
Kittewan,kittewan,data_processed/caches/kittewan_checklists_cache.rds,1,1,2005-09-05,2005-09-05
Lake Frederick,lake_frederick,data_processed/caches/lake_frederick_checklists_cache.rds,4451,4451,2007-04-21,2026-02-28
Lake Robertson,lake_robertson,data_processed/caches/lake_robertson_checklists_cache.rds,153,153,1979-09-02,2026-01-17
Lake Shenandoah,lake_shenandoah,data_processed/caches/lake_shenandoah_checklists_cache.rds,7043,7043,1967-02-04,2026-02-28
Land's End,land_s_end,data_processed/caches/land_s_end_checklists_cache.rds,115,115,2007-01-14,2026-02-18
Lawnes Creek,lawnes_creek,data_processed/caches/lawnes_creek_checklists_cache.rds,135,135,2007-02-04,2025-12-28
Little North Mountain,little_north_mountain,data_processed/caches/little_north_mountain_checklists_cache.rds,206,206,1974-04-04,2026-02-17
Massanutten,massanutten,data_processed/caches/massanutten_checklists_cache.rds,0,0,NA,NA
Mattaponi,mattaponi,data_processed/caches/mattaponi_checklists_cache.rds,163,163,2013-05-09,2026-01-19
Mattaponi Bluffs,mattaponi_bluffs,data_processed/caches/mattaponi_bluffs_checklists_cache.rds,26,26,2020-04-17,2025-06-02
Merrimac Farm,merrimac_farm,data_processed/caches/merrimac_farm_checklists_cache.rds,926,926,2005-09-04,2026-02-13
Mockhorn,mockhorn,data_processed/caches/mockhorn_checklists_cache.rds,14,14,1991-06-10,2024-02-01
Montebello Fish Cultural Center,montebello_fish_cultural_center,data_processed/caches/montebello_fish_cultural_center_checklists_cache.rds,40,40,2008-10-30,2024-05-19
Nottoway River,nottoway_river,data_processed/caches/nottoway_river_checklists_cache.rds,36,36,2014-10-26,2026-02-19
Oakley Forest,oakley_forest,data_processed/caches/oakley_forest_checklists_cache.rds,13,13,2020-05-09,2025-04-01
Paint Bank Trout,paint_bank_trout,data_processed/caches/paint_bank_trout_checklists_cache.rds,28,28,2017-06-24,2025-06-10
Pettigrew,pettigrew,data_processed/caches/pettigrew_checklists_cache.rds,131,131,2000-10-19,2026-01-19
Piney Mountain,piney_mountain,data_processed/caches/piney_mountain_checklists_cache.rds,0,0,NA,NA
Powhatan,powhatan,data_processed/caches/powhatan_checklists_cache.rds,722,722,1998-07-01,2026-01-05
Princess Anne,princess_anne,data_processed/caches/princess_anne_checklists_cache.rds,2524,2524,2000-01-21,2026-02-25
Ragged Island,ragged_island,data_processed/caches/ragged_island_checklists_cache.rds,618,618,1989-05-05,2026-02-21
Rapidan,rapidan,data_processed/caches/rapidan_checklists_cache.rds,63,63,2010-05-12,2025-10-11
Robert W. Duncan,robert_w_duncan,data_processed/caches/robert_w_duncan_checklists_cache.rds,39,39,2019-06-25,2025-04-22
Saxis,saxis,data_processed/caches/saxis_checklists_cache.rds,516,516,1973-01-13,2026-02-13
Short Hills,short_hills,data_processed/caches/short_hills_checklists_cache.rds,11,11,2007-06-04,2023-01-07
Smith Mountain Cooperative,smith_mountain_cooperative,data_processed/caches/smith_mountain_cooperative_checklists_cache.rds,51,51,2016-12-31,2025-12-28
Stewarts Creek,stewarts_creek,data_processed/caches/stewarts_creek_checklists_cache.rds,1,1,2022-07-25,2022-07-25
Thompson,thompson,data_processed/caches/thompson_checklists_cache.rds,2740,2740,1989-05-13,2026-02-13
Turkeycock Mountain,turkeycock_mountain,data_processed/caches/turkeycock_mountain_checklists_cache.rds,40,40,1993-11-13,2025-06-25
Tye River,tye_river,data_processed/caches/tye_river_checklists_cache.rds,7,7,2024-04-25,2024-10-19
Vic Thomas Striped Bass,vic_thomas_striped_bass,data_processed/caches/vic_thomas_striped_bass_checklists_cache.rds,8,8,2016-05-28,2022-04-15
Ware Creek,ware_creek,data_processed/caches/ware_creek_checklists_cache.rds,63,63,2016-08-14,2026-01-30
Weston,weston,data_processed/caches/weston_checklists_cache.rds,69,69,2010-06-14,2025-09-18
White Oak Mountain,white_oak_mountain,data_processed/caches/white_oak_mountain_checklists_cache.rds,254,254,2000-10-22,2026-02-11
Woodvale Wetlands,woodvale_wetlands,data_processed/caches/woodvale_wetlands_checklists_cache.rds,0,0,NA,NA
Wytheville Trout,wytheville_trout,data_processed/caches/wytheville_trout_checklists_cache.rds,1,1,2025-07-22,2025-07-22
