site_name,site_key,cache_file,rows,unique_checklists,unique_group_ids,unique_species,first_date,last_date
Amelia,amelia,data_processed/caches/amelia_checklists_cache.rds,12478,565,64,176,2003-03-15,2026-02-28
Arch of the Nottoway,arch_of_the_nottoway,data_processed/caches/arch_of_the_nottoway_checklists_cache.rds,25,2,0,24,2025-08-04,2025-08-05
Balthrope Marsh,balthrope_marsh,data_processed/caches/balthrope_marsh_checklists_cache.rds,0,0,0,0,NA,NA
Bear Garden,bear_garden,data_processed/caches/bear_garden_checklists_cache.rds,554,20,1,96,2012-04-28,2024-08-20
Big Survey,big_survey,data_processed/caches/big_survey_checklists_cache.rds,715,87,4,87,2003-07-26,2026-02-21
Big Woods,big_woods,data_processed/caches/big_woods_checklists_cache.rds,3142,243,40,118,2012-02-18,2026-02-14
Briery Creek,briery_creek,data_processed/caches/briery_creek_checklists_cache.rds,30265,2120,207,247,2002-05-07,2026-02-28
Brookneal,brookneal,data_processed/caches/brookneal_checklists_cache.rds,364,35,8,70,2017-03-19,2025-07-26
Buller,buller,data_processed/caches/buller_checklists_cache.rds,2980,233,52,122,2013-07-09,2026-02-28
C.F. Phelps,c_f_phelps,data_processed/caches/c_f_phelps_checklists_cache.rds,11738,593,82,196,2002-05-05,2025-09-16
Cavalier,cavalier,data_processed/caches/cavalier_checklists_cache.rds,6708,349,30,170,2008-05-16,2026-01-19
Chickahominy,chickahominy,data_processed/caches/chickahominy_checklists_cache.rds,4350,354,18,149,2004-05-11,2026-02-26
Clinch Mountian,clinch_mountian,data_processed/caches/clinch_mountian_checklists_cache.rds,3409,293,56,173,2002-05-25,2026-01-06
Coastal Forest,coastal_forest,data_processed/caches/coastal_forest_checklists_cache.rds,48,7,2,22,2008-04-21,2025-05-03
Coastal Forest - Lower Accomack,coastal_forest_lower_accomack,data_processed/caches/coastal_forest_lower_accomack_checklists_cache.rds,26,6,0,25,2018-06-25,2026-01-03
Coastal Forest - Mid Accomack,coastal_forest_mid_accomack,data_processed/caches/coastal_forest_mid_accomack_checklists_cache.rds,1,1,0,1,2016-02-29,2016-02-29
Coastal Forest - Upper Accomack,coastal_forest_upper_accomack,data_processed/caches/coastal_forest_upper_accomack_checklists_cache.rds,502,22,4,94,2016-05-24,2026-01-05
Copper Creek,copper_creek,data_processed/caches/copper_creek_checklists_cache.rds,116,7,2,37,2022-10-17,2025-04-27
Coursey Springs Fish Culture Center,coursey_springs_fish_culture_center,data_processed/caches/coursey_springs_fish_culture_center_checklists_cache.rds,692,39,4,110,2002-09-28,2025-09-13
Crooked Creek,crooked_creek,data_processed/caches/crooked_creek_checklists_cache.rds,1460,103,8,114,2003-04-28,2025-09-21
Dick Cross,dick_cross,data_processed/caches/dick_cross_checklists_cache.rds,43898,1545,409,237,2003-09-17,2026-02-28
Doe Creek,doe_creek,data_processed/caches/doe_creek_checklists_cache.rds,789,41,9,143,2015-02-27,2026-01-03
Fairystone Farms,fairystone_farms,data_processed/caches/fairystone_farms_checklists_cache.rds,2750,136,21,140,2003-06-10,2025-10-13
Featherfin,featherfin,data_processed/caches/featherfin_checklists_cache.rds,1290,89,8,115,2010-10-11,2025-11-23
Flippo-Gentry,flippo_gentry,data_processed/caches/flippo_gentry_checklists_cache.rds,1044,72,13,99,2009-06-17,2026-02-17
Front Royal Fish Culture Center,front_royal_fish_culture_center,data_processed/caches/front_royal_fish_culture_center_checklists_cache.rds,672,50,1,83,2012-03-20,2025-06-17
Game Farm Marsh,game_farm_marsh,data_processed/caches/game_farm_marsh_checklists_cache.rds,59,5,0,42,2016-01-13,2026-01-06
