site_key,site_name,COMMON NAME,SCIENTIFIC NAME,checklists,individuals
amelia,Amelia,Acadian Flycatcher,Empidonax virescens,102,234
amelia,Amelia,Acanthis/Spinus sp.,Acanthis/Spinus sp.,0,0
amelia,Amelia,Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,0,0
amelia,Amelia,African Collared-Dove,Streptopelia roseogrisea,0,0
amelia,Amelia,Alder Flycatcher,Empidonax alnorum,1,1
amelia,Amelia,Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,0,0
amelia,Amelia,Allen's Hummingbird,Selasphorus sasin,0,0
amelia,Amelia,American Avocet,Recurvirostra americana,1,6
amelia,Amelia,American Barn Owl,Tyto furcata,0,0
amelia,Amelia,American Bittern,Botaurus lentiginosus,0,0
amelia,Amelia,American Black Duck,Anas rubripes,0,0
amelia,Amelia,American Coot,Fulica americana,1,2
amelia,Amelia,American Crow,Corvus brachyrhynchos,356,1408
amelia,Amelia,American Flamingo,Phoenicopterus ruber,0,0
amelia,Amelia,American Golden-Plover,Pluvialis dominica,0,0
amelia,Amelia,American Goldfinch,Spinus tristis,278,1420
amelia,Amelia,American Goshawk,Astur atricapillus,0,0
amelia,Amelia,American Herring Gull,Larus smithsonianus,0,0
amelia,Amelia,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,0,0
amelia,Amelia,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,0,0
amelia,Amelia,American Herring x Great Black-backed Gull (hybrid),Larus smithsonianus x marinus,0,0
amelia,Amelia,American Herring x Lesser Black-backed Gull (hybrid),Larus smithsonianus x fuscus,0,0
amelia,Amelia,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,0,0
amelia,Amelia,American Kestrel,Falco sparverius,7,7
amelia,Amelia,American Oystercatcher,Haematopus palliatus,0,0
amelia,Amelia,American Pipit,Anthus rubescens,1,1
amelia,Amelia,American Redstart,Setophaga ruticilla,21,30
amelia,Amelia,American Robin,Turdus migratorius,149,1417
amelia,Amelia,American Tree Sparrow,Spizelloides arborea,0,0
amelia,Amelia,American White Pelican,Pelecanus erythrorhynchos,0,0
amelia,Amelia,American Wigeon,Mareca americana,0,0
amelia,Amelia,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,0,0
amelia,Amelia,American Woodcock,Scolopax minor,20,59
amelia,Amelia,American/Fish Crow,Corvus brachyrhynchos/ossifragus,0,0
amelia,Amelia,American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva,0,0
amelia,Amelia,Ammospiza sp.,Ammospiza sp.,0,0
amelia,Amelia,Anas sp.,Anas sp.,0,0
amelia,Amelia,Ancient Murrelet,Synthliboramphus antiquus,0,0
amelia,Amelia,Anhinga,Anhinga anhinga,0,0
amelia,Amelia,Anna's Hummingbird,Calypte anna,0,0
amelia,Amelia,Antrostomus sp.,Antrostomus sp.,0,0
amelia,Amelia,Arctic Tern,Sterna paradisaea,0,0
amelia,Amelia,Ardea sp.,Ardea sp.,0,0
amelia,Amelia,Ash-throated Flycatcher,Myiarchus cinerascens,0,0
amelia,Amelia,Asio sp.,Asio sp.,0,0
amelia,Amelia,Atlantic Puffin,Fratercula arctica,0,0
amelia,Amelia,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,0,0
amelia,Amelia,Aythya sp.,Aythya sp.,0,0
amelia,Amelia,Bachman's Sparrow,Peucaea aestivalis,0,0
amelia,Amelia,Bachman's Warbler,Vermivora bachmanii,0,0
amelia,Amelia,Baird's Sandpiper,Calidris bairdii,0,0
amelia,Amelia,Bald Eagle,Haliaeetus leucocephalus,29,30
amelia,Amelia,Baltimore Oriole,Icterus galbula,10,14
amelia,Amelia,Band-rumped Storm-Petrel,Hydrobates castro,0,0
amelia,Amelia,Bank Swallow,Riparia riparia,0,0
amelia,Amelia,Bar-headed Goose,Anser indicus,0,0
amelia,Amelia,Bar-tailed Godwit,Limosa lapponica,0,0
amelia,Amelia,Barn Swallow,Hirundo rustica,18,48
amelia,Amelia,Barn x Cliff Swallow (hybrid),Hirundo rustica x Petrochelidon pyrrhonota,0,0
amelia,Amelia,Barnacle Goose,Branta leucopsis,0,0
amelia,Amelia,Barred Owl,Strix varia,29,35
amelia,Amelia,Barrow's Goldeneye,Bucephala islandica,0,0
amelia,Amelia,Bay-breasted Warbler,Setophaga castanea,0,0
amelia,Amelia,Bay-breasted/Blackpoll Warbler,Setophaga castanea/striata,0,0
amelia,Amelia,Bell's Vireo,Vireo bellii,0,0
amelia,Amelia,Belted Kingfisher,Megaceryle alcyon,63,76
